,property_name,society,property_type,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others,super_built_up_area,built_up_area,carpet_area
1122,3 BHK Flat in Sector 82 Gurgaon,mapsko royale ville,flats,0.97,5418.0,1790.0,3,4,2,16.0,north-west,relative new,0,95,0,1,0,0,0,1790,,
1123,3 BHK Flat in Nirvana Country,the close north,flats,2.7,9980.0,2705.0,3,3,3,3.0,south,relative new,1,117,0,1,0,0,0,2605,,
1124,2 BHK Flat in Sector 95 Gurgaon,rof ananda,flats,0.46,6318.0,728.0,2,2,2,11.0,north-west,new property,0,82,1,0,0,0,0,,,728
1125,4 Bedroom House for sale in Surat Nagar,independent,houses,0.71,10142.0,700.0,4,2,1,2.0,Na,new property,0,0,0,0,0,0,0,,,
1126,4 BHK Flat in Sector 71 Gurgaon,chd avenue,flats,1.35,5744.0,2350.0,4,4,3,8.0,north-west,relative new,0,26,0,1,0,0,0,2350,,
1127,3 BHK Flat in Sector 102 Gurgaon,emaar gurgaon greens,flats,1.4,8484.0,1650.0,3,3,3,10.0,east,relative new,15,46,0,1,0,0,0,1650,1300,1022
1128,3 BHK Flat in Sector 65 Gurgaon,m3m golfestate,flats,6.15,18331.0,3355.0,3,4,2,20.0,north-east,Undefined,0,0,0,0,0,0,0,,3355,2200
1129,3 BHK Flat in Sector 69 Gurgaon,tulip violet,flats,1.66,10134.0,1638.0,3,3,2,0.0,south-west,relative new,0,157,0,0,0,0,0,1638,,
1130,2 BHK Flat in Sector 63A Gurgaon,signature global city 63a,flats,1.4,11336.0,1235.0,2,2,2,3.0,east,Under Construction,0,0,0,0,0,0,1,,,1235
1131,2 BHK Flat in Sector 90 Gurgaon,shree vardhman flora,flats,0.65,4814.0,1350.0,2,2,3,6.0,east,relative new,0,165,1,0,0,0,0,1350,,
1132,3 BHK Flat in Sector 79 Gurgaon,bestech altura,flats,1.72,8000.0,2150.0,3,4,3,5.0,north-east,relative new,42,174,0,1,0,0,0,2150,,1300
