society,property_type,sector,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others
tulip violet,flats,sector 69,1.9,9452.0,2010.0,4.0,4.0,2.0,6.0,west,relative new,unfurnished,high,0.0,0.0,1.0,0.0,0.0
tulip violet,flats,sector 69,1.43,8886.0,1609.0,3.0,3.0,2.0,1.0,north-west,relative new,unfurnished,mid,0.0,0.0,0.0,1.0,0.0
lotus homz,flats,sector 111,0.5,14838.0,337.0,1.0,1.0,1.0,2.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
ireo skyon,flats,sector 60,3.05,12788.0,2385.0,3.0,3.0,3.0,9.0,south-east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
sukhshanti apartment,flats,sector 56,1.7,7727.0,2200.0,3.0,3.0,3.0,4.0,south,relative new,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
independent,houses,sector 4,1.1,6111.0,1800.0,8.0,4.0,3.0,2.0,West,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
hsiidc sidco shivalik apartments,flats,manesar,0.73,3560.0,2051.0,3.0,3.0,3.0,2.0,south,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 57,3.15,20349.0,1548.0,5.0,4.0,3.0,2.0,North-East,relative new,semifurnished,mid,0.0,0.0,1.0,0.0,0.0
dlf ridgewood estate,flats,sector 28,2.0,14598.0,1370.0,3.0,3.0,1.0,12.0,north-east,old property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
siddhartha apartment,flats,sector 95,0.72,3664.0,1965.0,3.0,3.0,2.0,4.0,east,relative new,unfurnished,low,0.0,0.0,0.0,0.0,1.0
emaar mgf palm hills,flats,sector 77,1.55,7948.0,1950.0,4.0,4.0,3.0,2.0,north-east,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,0.0
independent,houses,sector 23,5.1,16569.0,3078.0,3.0,2.0,0.0,1.0,East,old property,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
emaar mgf the palm drive,flats,sector 66,3.2,17777.0,1800.0,3.0,3.0,3.0,12.0,south-west,relative new,semifurnished,high,1.0,1.0,1.0,1.0,0.0
godrej frontier,flats,sector 80,1.1,5705.0,1928.0,3.0,3.0,3.0,8.0,north-west,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
spaze privvy the address,flats,sector 93,1.45,8033.0,1805.0,3.0,4.0,2.0,12.0,north-east,relative new,fullyfurnished,mid,0.0,0.0,0.0,0.0,0.0
dlf the primus,flats,sector 82a,3.5,13430.0,2606.0,5.0,5.0,3.0,14.0,north-east,relative new,fullyfurnished,mid,1.0,0.0,0.0,0.0,0.0
godrej air,flats,sector 85,1.3,14541.0,894.0,2.0,2.0,3.0,30.0,na,under construction,unfurnished,high,0.0,0.0,0.0,0.0,0.0
sidhartha ncr one phase,flats,sector 95,0.9,4500.0,2000.0,3.0,3.0,1.0,15.0,na,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
dlf new town heights,flats,sector 86,1.3,6735.0,1930.0,3.0,3.0,3.0,12.0,west,relative new,unfurnished,mid,0.0,1.0,0.0,1.0,0.0
godrej,flats,sector 79,1.12,7146.0,1567.0,2.0,2.0,3.0,6.0,north-east,relative new,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
spaze privy,flats,sector 72,3.1,6692.0,4632.0,4.0,5.0,3.0,8.0,south,relative new,semifurnished,high,1.0,1.0,1.0,1.0,0.0
bptp terra,flats,sector 37d,1.55,7074.0,2191.0,4.0,3.0,3.0,19.0,north-east,relative new,semifurnished,high,0.0,0.0,0.0,0.0,1.0
puri emerald bay,flats,sector 104,2.65,15007.0,1766.0,3.0,4.0,3.0,15.0,north-east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
raheja sampada,flats,sector 92,0.7,4453.0,1572.0,3.0,3.0,0.0,7.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ss the leaf,flats,sector 85,1.04,5973.0,1741.0,2.0,3.0,3.0,4.0,west,relative new,semifurnished,high,0.0,0.0,1.0,0.0,0.0
dlf city plots phase 2,houses,sector 25,10.0,400000.0,250.0,12.0,12.0,3.0,4.0,North,relative new,fullyfurnished,high,1.0,1.0,0.0,0.0,0.0
ireo victory valley,flats,sector 67,4.5,14097.0,3192.0,4.0,4.0,3.0,0.0,north,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
independent,houses,sector 31,4.25,26235.0,1620.0,5.0,5.0,3.0,3.0,North-East,relative new,semifurnished,mid,0.0,0.0,1.0,1.0,0.0
independent,houses,sector 11,4.0,19753.0,2025.0,5.0,4.0,1.0,2.0,North-East,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
signature global park,flats,sohna road,0.78,6446.0,1210.0,3.0,3.0,3.0,3.0,south-west,relative new,unfurnished,high,0.0,0.0,0.0,1.0,0.0
ats marigold,flats,sector 89,1.85,8604.0,2150.0,3.0,3.0,3.0,12.0,south-west,new property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 9,0.35,9722.0,360.0,2.0,2.0,1.0,2.0,South-East,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
avl 36 gurgaon,flats,sector 36a,0.75,7500.0,1000.0,2.0,2.0,2.0,5.0,north-east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
aipl zen residences,flats,sector 70a,1.75,10257.0,1706.0,3.0,4.0,3.0,20.0,north-east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
international city by sobha phase 2,houses,sector 109,9.5,26389.0,3600.0,7.0,6.0,3.0,3.0,West,relative new,unfurnished,high,1.0,1.0,0.0,1.0,0.0
independent,houses,sector 7,3.1,13778.0,2250.0,3.0,3.0,2.0,2.0,North-West,old property,semifurnished,low,0.0,0.0,0.0,0.0,0.0
indiabulls centrum park,flats,sector 103,2.36,9182.0,2570.0,4.0,6.0,3.0,8.0,east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
signature global park,flats,sohna road,0.54,7248.0,745.0,2.0,1.0,3.0,1.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
dlf the skycourt,flats,sector 86,1.55,8031.0,1930.0,3.0,3.0,1.0,12.0,north-east,relative new,semifurnished,high,0.0,0.0,0.0,1.0,0.0
godrej,flats,sector 79,1.29,8206.0,1572.0,2.0,2.0,3.0,4.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
unitech deerwood chase,houses,sector 50,15.0,33333.0,4500.0,4.0,4.0,2.0,2.0,West,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
emaar gurgaon greens,flats,sector 102,1.45,14179.0,1023.0,3.0,3.0,3.0,10.0,north-east,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
bptp terra,flats,sector 37d,1.95,14444.0,1350.0,4.0,3.0,3.0,7.0,na,under construction,semifurnished,low,0.0,0.0,0.0,0.0,0.0
m3m skywalk,flats,sector 74,2.45,12140.0,2018.0,3.0,3.0,3.0,25.0,south-west,relative new,unfurnished,high,1.0,0.0,0.0,0.0,0.0
international city by sobha phase 2,houses,sector 109,6.25,10035.0,6228.0,5.0,7.0,3.0,3.0,North-East,relative new,unfurnished,high,1.0,1.0,1.0,1.0,0.0
signature global the millennia,flats,sector 37d,0.55,9166.0,600.0,2.0,2.0,3.0,3.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
mapsko mount ville,flats,sector 79,1.25,8389.0,1490.0,3.0,3.0,3.0,22.0,south-west,relative new,semifurnished,high,1.0,0.0,0.0,1.0,0.0
breez global hill view,flats,sohna road,0.3,5124.0,585.0,2.0,2.0,1.0,11.0,north,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
"new colony, gurgaon",flats,sector 7,0.8,8100.0,988.0,3.0,2.0,1.0,4.0,north-east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
m3m skycity,flats,sector 65,2.8,15317.0,1828.0,3.0,3.0,0.0,14.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
unitech fresco,flats,sector 50,1.82,9912.0,1836.0,3.0,3.0,3.0,14.0,east,relative new,semifurnished,high,0.0,0.0,0.0,0.0,1.0
umang monsoon breeze,flats,sector 78,0.88,4746.0,1854.0,3.0,4.0,3.0,8.0,north-west,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
apex our homes,flats,sector 37c,0.38,4108.0,925.0,2.0,2.0,1.0,9.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
saksham welfare association,houses,sector 22,4.7,19847.0,2368.0,6.0,6.0,3.0,2.0,West,old property,semifurnished,mid,0.0,0.0,1.0,1.0,0.0
shree vardhman victoria,flats,sector 70,1.1,8461.0,1300.0,2.0,2.0,2.0,8.0,north-east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
godrej nature plus,flats,sector 33,1.25,9025.0,1385.0,2.0,2.0,3.0,15.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
godrej oasis,flats,sector 88a,1.5,8108.0,1850.0,3.0,3.0,2.0,3.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
tulip monsella,flats,sector 53,6.02,20816.0,2892.0,3.0,3.0,3.0,29.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ss the leaf,flats,sector 85,1.09,6666.0,1635.0,2.0,2.0,3.0,9.0,south-west,relative new,semifurnished,high,0.0,0.0,1.0,0.0,0.0
godrej aria,flats,sector 79,0.96,13296.0,722.0,2.0,2.0,3.0,8.0,north-east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
hero homes,flats,sector 104,1.2,17548.0,684.0,2.0,2.0,2.0,22.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
godrej,flats,sector 79,1.28,8504.0,1505.0,3.0,3.0,3.0,7.0,north-east,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
bestech altura,flats,sector 79,1.85,8604.0,2150.0,3.0,4.0,3.0,11.0,north,new property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
ireo victory valley,houses,sector 67,8.0,22222.0,3600.0,6.0,7.0,3.0,3.0,North-East,relative new,fullyfurnished,high,1.0,1.0,1.0,1.0,0.0
la vida by tata housing,flats,sector 113,2.85,12855.0,2217.0,3.0,3.0,3.0,10.0,east,new property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
palam vihar society,flats,sector 2,0.4,8602.0,465.0,1.0,1.0,1.0,5.0,north,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
vatika the seven lamps,flats,sector 82,0.85,6538.0,1300.0,2.0,2.0,2.0,0.0,east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
conscient heritage max,flats,sector 102,1.82,9371.0,1942.0,3.0,4.0,3.0,15.0,east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
vatika inxt floors,flats,sector 82a,1.25,8333.0,1500.0,3.0,2.0,3.0,2.0,north,relative new,semifurnished,mid,1.0,0.0,0.0,1.0,0.0
independent,houses,sector 92,1.8,7627.0,2360.0,4.0,5.0,0.0,13.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.7,8432.0,2016.0,4.0,4.0,2.0,10.0,south,new property,unfurnished,high,0.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.44,9125.0,1578.0,3.0,3.0,2.0,1.0,south,relative new,unfurnished,high,0.0,0.0,0.0,1.0,0.0
independent,houses,sector 12,1.7,9444.0,1800.0,3.0,3.0,0.0,1.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 43,1.9,35185.0,540.0,3.0,3.0,3.0,3.0,Na,old property,semifurnished,low,0.0,0.0,0.0,0.0,0.0
bptp visionnaire,houses,sector 70a,4.0,6666.0,6001.0,4.0,4.0,3.0,2.0,North-East,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
ambience caitriona,flats,sector 24,14.0,200000.0,700.0,4.0,5.0,3.0,3.0,east,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
shapoorji pallonji joyville gurugram,flats,sector 102,0.95,10383.0,915.0,2.0,2.0,2.0,14.0,north-west,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ss the leaf,flats,sector 85,2.15,7645.0,2812.0,4.0,5.0,3.0,1.0,south,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
bptp visionnaire,houses,sector 70a,4.6,17624.0,2610.0,4.0,4.0,3.0,3.0,North,relative new,semifurnished,mid,1.0,1.0,1.0,1.0,0.0
vatika city,flats,sector 49,2.65,11770.0,2251.0,3.0,4.0,3.0,11.0,east,relative new,fullyfurnished,high,0.0,1.0,0.0,1.0,0.0
kendriya vihar,flats,sector 56,0.65,8609.0,755.0,1.0,1.0,1.0,0.0,na,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
dlf city plots phase 4,houses,sector 28,9.54,29444.0,3240.0,6.0,5.0,3.0,3.0,North,new property,semifurnished,high,1.0,1.0,1.0,1.0,0.0
unitech fresco,flats,sector 50,1.88,10479.0,1794.0,3.0,3.0,3.0,14.0,north,relative new,semifurnished,high,0.0,0.0,0.0,0.0,1.0
signature global orchard avenue,flats,sector 93,0.36,6715.0,536.0,2.0,2.0,2.0,6.0,north,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 12,6.0,315789.0,190.0,9.0,6.0,2.0,2.0,North-East,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
signature andour heights,flats,sector 71,0.6,10000.0,600.0,2.0,2.0,1.0,5.0,south-west,relative new,unfurnished,mid,0.0,0.0,0.0,1.0,0.0
emaar gurgaon greens,flats,sector 102,1.45,8787.0,1650.0,3.0,3.0,2.0,7.0,south-west,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
godrej aria,flats,sector 79,1.7,7426.0,2289.0,3.0,4.0,3.0,6.0,east,new property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
m3m soulitude,flats,sector 89,1.3,8700.0,1494.0,3.0,3.0,2.0,1.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
gls avenue 51,flats,sector 92,0.42,7106.0,591.0,2.0,2.0,1.0,4.0,east,relative new,semifurnished,mid,1.0,0.0,0.0,1.0,0.0
international city by sobha phase 1,houses,sector 109,6.0,24691.0,2430.0,4.0,5.0,3.0,2.0,North,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 25,16.0,26667.0,6000.0,6.0,5.0,2.0,3.0,East,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
laxmi garden sector-11,houses,sector 11,1.5,12820.0,1170.0,12.0,9.0,1.0,3.0,East,relative new,semifurnished,mid,1.0,1.0,0.0,1.0,1.0
ats kocoon,flats,sector 109,1.68,9627.0,1745.0,3.0,3.0,3.0,8.0,north-east,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
eldeco accolade,flats,sohna road,0.73,5775.0,1264.0,2.0,2.0,3.0,5.0,west,relative new,unfurnished,mid,0.0,0.0,0.0,1.0,0.0
ss the leaf,flats,sector 85,2.7,7754.0,3482.0,4.0,4.0,3.0,23.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
friends apartment,flats,sector 52,2.0,8510.0,2350.0,4.0,3.0,3.0,5.0,north,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
godrej nature plus,flats,sector 33,1.35,8670.0,1557.0,3.0,2.0,3.0,17.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
pyramid urban,flats,sector 67a,0.62,11854.0,523.0,2.0,2.0,2.0,2.0,south,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
smart world gems,flats,sector 89,1.16,8151.0,1423.0,3.0,3.0,2.0,3.0,south-east,under construction,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
godrej nature plus,flats,sector 33,1.7,12592.0,1350.0,3.0,3.0,3.0,6.0,na,new property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
vatika city homes,flats,sector 83,1.0,5747.0,1740.0,3.0,3.0,2.0,2.0,south-east,relative new,semifurnished,high,0.0,0.0,1.0,0.0,0.0
independent,houses,sector 40,5.0,21124.0,2367.0,9.0,9.0,3.0,3.0,North-West,relative new,fullyfurnished,mid,0.0,1.0,1.0,0.0,0.0
signature global solera,flats,sector 107,0.28,5725.0,489.0,2.0,2.0,2.0,10.0,south,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
rof ananda,flats,sector 95,0.2,5463.0,366.0,1.0,1.0,1.0,10.0,west,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
dlf regal gardens,flats,sector 90,1.8,7223.0,2492.0,4.0,4.0,3.0,7.0,south-west,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
mapsko casa bella,flats,sector 82,1.38,5443.0,2535.0,4.0,5.0,3.0,20.0,south-west,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 17b,8.5,18814.0,4518.0,4.0,4.0,2.0,2.0,West,old property,semifurnished,low,1.0,1.0,0.0,1.0,0.0
sare crescent parc,flats,sector 92,0.92,4854.0,1895.0,4.0,5.0,3.0,14.0,north-east,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
gls arawali homes,flats,sohna road,0.28,5982.0,468.0,2.0,2.0,2.0,3.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
bestech park view spa next,flats,sector 67,2.32,11989.0,1935.0,3.0,4.0,3.0,14.0,north-east,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
not applicable,houses,sector 4,0.51,14167.0,360.0,4.0,4.0,3.0,4.0,Na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
dhoot time residency,flats,sector 63,3.0,18271.0,1642.0,3.0,3.0,3.0,14.0,na,relative new,semifurnished,low,0.0,1.0,0.0,0.0,0.0
signature global grand iva,flats,sector 103,0.5,6250.0,800.0,2.0,2.0,2.0,10.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
godrej summit,flats,sector 104,1.16,6387.0,1816.0,3.0,4.0,3.0,8.0,east,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
pyramid urban homes 2,flats,sector 86,0.42,8483.0,495.0,2.0,2.0,1.0,2.0,north-east,new property,unfurnished,mid,1.0,1.0,0.0,1.0,1.0
central park 2 bellevue,flats,sector 48,5.0,11627.0,4300.0,3.0,4.0,3.0,14.0,north-east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
kw royal court,flats,sector 39,2.0,6250.0,3200.0,5.0,4.0,3.0,9.0,east,old property,fullyfurnished,mid,0.0,1.0,0.0,0.0,0.0
sare crescent parc,flats,sector 92,0.7,5556.0,1260.0,3.0,3.0,2.0,14.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
vipul belmonte,flats,sector 53,6.5,21922.0,2965.0,3.0,4.0,3.0,0.0,na,old property,unfurnished,mid,1.0,0.0,0.0,0.0,1.0
eros rosewood city,houses,sector 49,4.05,20769.0,1950.0,3.0,3.0,3.0,2.0,East,relative new,semifurnished,mid,0.0,1.0,1.0,0.0,0.0
vatika gurgaon,flats,sector 83,1.12,6455.0,1735.0,3.0,3.0,2.0,4.0,south-east,relative new,semifurnished,high,1.0,1.0,1.0,1.0,0.0
independent,houses,sector 11,1.2,4444.0,2700.0,7.0,3.0,0.0,3.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
signature signum 95a,flats,sector 95,0.4,7782.0,514.0,2.0,2.0,2.0,3.0,east,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
vatika sovereign next,flats,sector 82a,3.85,7500.0,5133.0,5.0,6.0,3.0,6.0,na,new property,semifurnished,high,0.0,1.0,0.0,1.0,0.0
conscient one,flats,sector 109,1.7,17617.0,965.0,1.0,1.0,2.0,9.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 26,6.75,27778.0,2430.0,3.0,3.0,3.0,2.0,North-East,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 4,4.12,8889.0,4635.0,2.0,1.0,3.0,3.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
microtek greenburg,flats,sector 86,1.3,8756.0,1485.0,2.0,2.0,3.0,10.0,na,relative new,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
independent,houses,sohna road,1.55,14720.0,1053.0,2.0,3.0,2.0,1.0,North,new property,fullyfurnished,mid,1.0,0.0,0.0,1.0,0.0
ss the leaf,flats,sector 85,1.2,7317.0,1640.0,2.0,2.0,3.0,6.0,north,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
ats kocoon,flats,sector 109,1.7,9742.0,1745.0,3.0,3.0,3.0,22.0,east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
emaar palm gardens,flats,sector 83,3.15,8400.0,3750.0,5.0,7.0,3.0,15.0,west,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
emaar palm gardens,flats,sector 83,1.35,12325.0,1095.0,3.0,3.0,3.0,7.0,south-west,relative new,unfurnished,low,0.0,1.0,0.0,0.0,0.0
bestech park view ananda,flats,sector 81,1.45,8011.0,1810.0,3.0,3.0,3.0,8.0,north,relative new,semifurnished,high,0.0,0.0,0.0,0.0,1.0
signature global park,flats,sohna road,0.65,7299.0,891.0,2.0,2.0,3.0,1.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ramprastha primera,flats,sector 37d,1.02,6000.0,1700.0,3.0,2.0,3.0,22.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 12,1.7,8000.0,2125.0,5.0,5.0,3.0,3.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,1.0,1.0
ireo victory valley,flats,sector 67,3.15,12846.0,2452.0,3.0,4.0,3.0,15.0,south,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
independent house sector 45,houses,sector 40,9.0,38022.0,2367.0,12.0,12.0,3.0,4.0,North-West,new property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
pareena laxmi apartments,flats,sector 99a,0.3,5424.0,553.0,2.0,1.0,2.0,5.0,north,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 26,4.0,29630.0,1350.0,4.0,4.0,3.0,2.0,North,old property,semifurnished,mid,0.0,0.0,1.0,0.0,0.0
ss the coralwood,flats,sector 84,1.05,6774.0,1550.0,3.0,3.0,3.0,6.0,north-east,relative new,unfurnished,high,0.0,0.0,0.0,0.0,1.0
tulip violet,flats,sector 69,1.3,8445.0,1539.0,3.0,3.0,1.0,12.0,west,relative new,semifurnished,mid,0.0,0.0,0.0,1.0,0.0
grover homes sec 4,houses,sector 4,4.75,9374.0,5067.0,5.0,5.0,1.0,1.0,South-East,old property,fullyfurnished,mid,1.0,1.0,0.0,1.0,0.0
ambience creacions,flats,sector 22,4.78,15469.0,3090.0,3.0,4.0,3.0,7.0,west,relative new,semifurnished,high,0.0,1.0,0.0,0.0,1.0
shree vardhman flora,flats,sector 90,0.9,4615.0,1950.0,3.0,4.0,3.0,4.0,south-west,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
rwa sector 46,houses,sector 46,3.5,21605.0,1620.0,4.0,4.0,2.0,2.0,South-East,relative new,semifurnished,mid,0.0,0.0,0.0,1.0,0.0
hcbs sports ville,flats,sohna road,0.25,4166.0,600.0,1.0,1.0,1.0,12.0,na,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
indiabulls enigma,flats,sector 110,3.7,10882.0,3400.0,4.0,5.0,3.0,7.0,south-west,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
pareena coban residences,flats,sector 99a,1.02,8793.0,1160.0,2.0,2.0,3.0,3.0,north,relative new,semifurnished,high,1.0,0.0,0.0,0.0,0.0
emaar mgf marbella,houses,sector 66,9.01,16066.0,5608.0,4.0,4.0,3.0,3.0,North-East,relative new,unfurnished,high,0.0,1.0,1.0,0.0,0.0
prem kunj,houses,sohna road road,0.5,7407.0,675.0,5.0,4.0,3.0,3.0,South-West,relative new,unfurnished,low,0.0,0.0,0.0,1.0,0.0
tulip violet,flats,sector 69,1.6,10139.0,1578.0,3.0,3.0,2.0,0.0,south-west,relative new,unfurnished,mid,0.0,0.0,0.0,1.0,0.0
vatika the seven lamps,houses,sector 82,1.6,6597.0,2425.0,4.0,4.0,3.0,16.0,North,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
dlf the arbour,flats,sector 63,7.9,20000.0,3950.0,4.0,4.0,3.0,34.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 3 phase 2,1.1,10000.0,1100.0,5.0,4.0,2.0,1.0,East,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
m3m heights,flats,sector 65,3.29,17997.0,1828.0,3.0,3.0,3.0,33.0,east,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
nul,houses,sector 28,12.5,51440.0,2430.0,16.0,17.0,3.0,4.0,South,relative new,fullyfurnished,high,1.0,1.0,0.0,1.0,1.0
eldeco accolade,flats,sector 33,1.2,8043.0,1492.0,2.0,2.0,2.0,0.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
m3m woodshire,flats,sector 107,1.3,8922.0,1457.0,3.0,3.0,3.0,4.0,west,relative new,semifurnished,high,0.0,0.0,0.0,1.0,0.0
m3m soulitude,flats,sector 89,1.25,8784.0,1423.0,3.0,3.0,3.0,3.0,east,new property,unfurnished,low,1.0,0.0,0.0,0.0,1.0
independent,houses,sector 38,3.5,20323.0,1722.0,3.0,2.0,2.0,1.0,East,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
shree vardhman flora,flats,sector 90,0.65,4814.0,1350.0,2.0,2.0,3.0,6.0,west,relative new,unfurnished,high,1.0,0.0,0.0,0.0,0.0
pioneer araya,flats,sector 62,9.14,19488.0,4690.0,4.0,6.0,3.0,16.0,east,relative new,semifurnished,high,1.0,1.0,1.0,0.0,0.0
vatika the seven lamps,flats,sector 82,0.94,6533.0,1439.0,2.0,2.0,3.0,9.0,north,relative new,semifurnished,high,1.0,0.0,0.0,0.0,0.0
independent,houses,sector 23,4.0,16004.0,2499.0,3.0,3.0,2.0,2.0,East,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
indiabulls enigma,flats,sector 110,4.0,9851.0,4061.0,4.0,4.0,3.0,17.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
adani brahma samsara,houses,sector 60,18.02,28200.0,6390.0,9.0,12.0,3.0,3.0,North-East,relative new,fullyfurnished,high,0.0,1.0,0.0,0.0,0.0
international city by sobha phase 2,houses,sector 109,10.0,27778.0,3600.0,4.0,5.0,3.0,2.0,East,new property,semifurnished,mid,1.0,1.0,0.0,1.0,1.0
satya element one,flats,sector 49,0.94,14009.0,671.0,1.0,2.0,2.0,2.0,east,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
vatika gurgaon,flats,sector 83,1.33,5564.0,2390.0,4.0,4.0,3.0,3.0,east,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 4,0.65,11111.0,585.0,4.0,2.0,2.0,3.0,Na,relative new,semifurnished,low,0.0,0.0,0.0,0.0,0.0
