society,property_type,sector,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others
bptp terra,flats,sector 37d,1.5,8282.0,1811.0,3.0,3.0,3.0,17.0,north-west,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
vatika gurgaon,flats,sector 83,1.08,6224.0,1735.0,3.0,3.0,2.0,11.0,north-east,relative new,unfurnished,low,0.0,0.0,0.0,0.0,1.0
ansal api celebrity suites,flats,sector 2,0.6,8163.0,735.0,1.0,1.0,1.0,5.0,north-east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
vatika lifestyle homes,flats,sector 83,1.3,4545.0,2860.0,3.0,3.0,1.0,6.0,north-west,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
mapsko mount ville,flats,sector 79,1.28,8557.0,1496.0,3.0,3.0,3.0,16.0,south,relative new,semifurnished,high,1.0,0.0,0.0,0.0,0.0
bestech park view city,flats,sector 49,3.0,12589.0,2383.0,4.0,4.0,3.0,5.0,north-east,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
antriksh heights,flats,sector 84,1.02,4868.0,2095.0,4.0,4.0,3.0,11.0,north,relative new,unfurnished,mid,0.0,1.0,0.0,1.0,0.0
sushant lok 1 builder floors,houses,sector 43,6.25,30728.0,2034.0,7.0,7.0,3.0,3.0,North,relative new,unfurnished,mid,1.0,1.0,1.0,0.0,0.0
independent,houses,sector 43,2.2,6875.0,3200.0,12.0,12.0,3.0,6.0,North,new property,fullyfurnished,mid,0.0,1.0,0.0,0.0,0.0
tata gurgaon gateway,flats,sector 113,3.21,11825.0,2715.0,3.0,3.0,3.0,9.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
orris aster court premier,flats,sector 85,1.49,5820.0,2560.0,4.0,5.0,3.0,10.0,east,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
cancon enclave,flats,sector 4,1.05,7777.0,1350.0,3.0,2.0,2.0,2.0,na,new property,semifurnished,low,0.0,0.0,0.0,0.0,0.0
the lions cghs,flats,sector 56,2.05,7884.0,2600.0,4.0,4.0,3.0,6.0,south,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
international city by sobha phase 2,houses,sector 109,7.0,12963.0,5400.0,5.0,6.0,2.0,2.0,West,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
dlf new town heights,houses,sector 86,2.5,7058.0,3542.0,4.0,4.0,3.0,3.0,East,relative new,semifurnished,high,1.0,1.0,1.0,1.0,0.0
ambience creacions,flats,sector 22,1.99,15546.0,1280.0,2.0,2.0,2.0,9.0,north-east,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
gls arawali homes,flats,sohna road,0.26,4513.0,576.0,2.0,2.0,2.0,5.0,east,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.2,10909.0,1100.0,2.0,3.0,0.0,0.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
unitech espace,houses,sector 50,7.5,34722.0,2160.0,3.0,3.0,2.0,2.0,West,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
ss,flats,sector 85,1.2,7151.0,1678.0,2.0,2.0,3.0,15.0,north-east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
dlf the primus,flats,sector 82a,1.85,10283.0,1799.0,3.0,3.0,3.0,2.0,south,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.43,8886.0,1609.0,3.0,3.0,2.0,1.0,south-west,relative new,unfurnished,mid,0.0,0.0,0.0,1.0,0.0
independent,houses,sector 28,1.45,8000.0,1812.0,3.0,2.0,1.0,1.0,North,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ansals palam vihar,houses,sector 2,2.75,17662.0,1557.0,3.0,3.0,3.0,2.0,Na,relative new,semifurnished,low,1.0,0.0,0.0,1.0,0.0
paras quartier,flats,gwal pahari,5.9,11028.0,5350.0,4.0,4.0,3.0,0.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.76,8756.0,2010.0,4.0,4.0,2.0,6.0,north,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
conscient heritage max,flats,sector 102,3.0,10489.0,2860.0,4.0,4.0,3.0,7.0,east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
sare crescent parc,flats,sector 92,0.5,5000.0,1000.0,2.0,2.0,2.0,2.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
puri diplomatic greens,flats,sector 111,3.9,13000.0,3000.0,4.0,5.0,3.0,6.0,north-east,relative new,fullyfurnished,high,0.0,1.0,0.0,0.0,0.0
ild grand centra,flats,sector 37c,0.95,5220.0,1820.0,3.0,1.0,0.0,0.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
shivpuri,houses,sector 7,2.4,8889.0,2700.0,10.0,5.0,3.0,2.0,North,old property,semifurnished,low,1.0,1.0,0.0,1.0,0.0
bptp terra,flats,sector 37d,1.8,8215.0,2191.0,4.0,3.0,3.0,18.0,north-west,relative new,semifurnished,mid,1.0,1.0,0.0,1.0,0.0
ramprastha primera,flats,sector 37d,1.08,6000.0,1800.0,3.0,3.0,3.0,9.0,south,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
dlf regal gardens,flats,sector 90,1.13,6647.0,1700.0,3.0,3.0,3.0,8.0,north,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
