property_type,sector,price,area,bedRoom,bathroom,balcony,floor,agePossession,furnish,features,study room,servant room,store room,pooja room,others
houses,sector 109,7.0,5400.0,5.0,6.0,2.0,Low Floor,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
houses,sector 86,2.5,3542.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,high,1.0,1.0,1.0,1.0,0.0
flats,sector 22,1.99,1280.0,2.0,2.0,2.0,Mid Floor,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sohna road,0.26,576.0,2.0,2.0,2.0,Mid Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 69,1.2,1100.0,2.0,3.0,0.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 50,7.5,2160.0,3.0,3.0,2.0,Low Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 85,1.2,1678.0,2.0,2.0,3.0,High Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 82a,1.85,1799.0,3.0,3.0,3.0,Low Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 69,1.43,1609.0,3.0,3.0,2.0,Low Floor,relative new,unfurnished,mid,0.0,0.0,0.0,1.0,0.0
houses,sector 28,1.45,1812.0,3.0,2.0,1.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 2,2.75,1557.0,3.0,3.0,3.0,Low Floor,relative new,semifurnished,low,1.0,0.0,0.0,1.0,0.0
flats,gwal pahari,5.9,5350.0,4.0,4.0,3.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 69,1.76,2010.0,4.0,4.0,2.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 102,3.0,2860.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 92,0.5,1000.0,2.0,2.0,2.0,Low Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 111,3.9,3000.0,4.0,5.0,3.0,Mid Floor,relative new,fullyfurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 37c,0.95,1820.0,3.0,1.0,0.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 7,2.4,2700.0,10.0,5.0,3.0,Low Floor,old property,semifurnished,low,1.0,1.0,0.0,1.0,0.0
